Code,Opština,Autohtono,Doseljeno,Godina
70033,Aranđelovac,52.6836894215737,47.3163105784263,2002
70076,Batočina,55.361534677816,44.638465322184,2002
70599,Knić,59.5075663607045,40.4924336392955,2002
70645,Kragujevac - grad,52.9484625527276,47.0515374472724,2002
71277,Lapovo,66.4192724175691,33.580727582431,2002
71013,Rača,59.4435857805255,40.5564142194745,2002
71153,Topola,64.2905284859057,35.7094715140943,2002
70491,Despotovac,65.9261576971214,34.0738423028786,2002
71048,Jagodina,52.8444595244154,47.1555404755846,2002
70904,Paraćin,61.5184822058242,38.4815177941758,2002
71030,Rekovac,63.6088113542283,36.3911886457717,2002
71056,Svilajnac,62.3064833005894,37.6935166994106,2002
71200,Ćuprija,58.490115272054,41.509884727946,2002
70327,Bor,58.0894015861572,41.9105984138428,2002
70572,Kladovo,65.7444453903124,34.2555546096876,2002
70785,Majdanpek,64.0169312169312,35.9830687830688,2002
70840,Negotin,64.9956105900291,35.0043894099709,2002
70319,Boljevac,64.6631272911136,35.3368727088864,2002
70556,Zaječar,56.0635424455601,43.9364575544399,2002
70602,Knjaževac,49.1409584526447,50.8590415473553,2002
71129,Sokobanja,59.2988710635769,40.7011289364231,2002
70041,Arilje,57.5869576223989,42.4130423776011,2002
70068,Bajina Bašta,55.1512027491409,44.8487972508591,2002
70629,Kosjerić,62.3372908024603,37.6627091975397,2002
70866,Nova Varoš,61.0450233398585,38.9549766601416,2002
70955,Požega,55.9150814372747,44.0849185627254,2002
70971,Priboj,58.525649479098,41.474350520902,2002
70980,Prijepolje,55.1823113035441,44.8176886964559,2002
71072,Sjenica,72.5837628865979,27.4162371134021,2002
71145,Užice,54.8315094772149,45.1684905227851,2002
71234,Čajetina,58.5570577305056,41.4429422694945,2002
70483,Gornji Milanovac,53.6202616853885,46.3797383146115,2002
70564,Ivanjica,59.9050203527816,40.0949796472185,2002
70742,Lučani,58.3923772294161,41.6076227705839,2002
71242,Čačak,51.213394851953,48.786605148047,2002
70459,Vrnjačka Banja,49.7503404448479,50.2496595551521,2002
70653,Kraljevo,49.9411265819658,50.0588734180342,2002
70874,Novi Pazar,60.9012103369316,39.0987896630684,2002
71021,Raška,49.5280214062732,50.4719785937268,2002
71188,Tutin,72.0295622512791,27.9704377487209,2002
70017,Aleksandrovac,58.2630662615642,41.7369337384358,2002
70343,Brus,62.0700704977569,37.9299295022431,2002
70378,Varvarin,68.9140068714834,31.0859931285167,2002
70670,Kruševac,56.0462935431486,43.9537064568514,2002
71170,Trstenik,56.0040837161817,43.9959162838183,2002
71196,Ćićevac,60.1247556093474,39.8752443906526,2002
70000,Grad Niš,51.7993050462301,48.20069495377,2002
70025,Aleksinac,53.5452790483313,46.4547209516687,2002
70467,Gadžin Han,66.1688684663986,33.8311315336014,2002
70513,Doljevac,69.4901357929798,30.5098642070202,2002
70823,Merošina,63.2088239274597,36.7911760725403,2002
71005,Ražanj,64.2989173488249,35.7010826511751,2002
71064,Svrljig,60.1657106437221,39.8342893562779,2002
70262,Blace,57.2949325555961,42.7050674444039,2002
70548,Žitorađa,67.5288937809576,32.4711062190424,2002
70688,Kuršumlija,57.1680430546534,42.8319569453466,2002
70998,Prokuplje,59.4129701310261,40.5870298689739,2002
70050,Babušnica,58.2680674944285,41.7319325055715,2002
70084,Bela Palanka,49.9442119944212,50.0557880055788,2002
70505,Dimitrovgrad,45.8938022878607,54.1061977121393,2002
70939,Pirot,57.2289346170789,42.7710653829212,2002
70297,Bojnik,62.6089616149258,37.3910383850742,2002
70424,Vlasotince,61.4549730169737,38.5450269830263,2002
70718,Lebane,60.5116841257051,39.4883158742949,2002
70726,Leskovac,63.1024628327393,36.8975371672607,2002
70815,Medveđa,63.1152125279642,36.8847874720358,2002
71226,Crna Trava,59.9608610567515,40.0391389432485,2002
70335,Bosilegrad,59.9149280939842,40.0850719060158,2002
70351,Bujanovac,69.3461057892545,30.6538942107455,2002
70416,Vladičin Han,51.6795317669013,48.3204682330987,2002
70432,Vranje,58.9790798830867,41.0209201169133,2002
70963,Preševo,72.7220531664466,27.2779468335534,2002
71137,Surdulica,57.0401194083857,42.9598805916143,2002
71161,Trgovište,70.6991358994501,29.3008641005499,2002
70092,Barajevo,41.2541497602361,58.7458502397639,2011
70106,Voždovac,50.8586525759577,49.1413474240423,2011
70114,Vračar,53.5618553955941,46.438144604406,2011
70122,Grocka,40.6211639076597,59.3788360923403,2011
70149,Zvezdara,50.8464639544688,49.1535360455312,2011
70157,Zemun,48.134031040019,51.865968959981,2011
70165,Lazarevac,57.5585957490362,42.4414042509638,2011
70173,Mladenovac,61.0045954497514,38.9954045502486,2011
70181,Novi Beograd,45.2961688717332,54.7038311282668,2011
70190,Obrenovac,47.6504329601235,52.3495670398765,2011
70203,Palilula (Beograd),43.5342119973951,56.4657880026049,2011
70211,Rakovica,48.8158245966072,51.1841754033928,2011
70220,Savski venac,49.4223199222944,50.5776800777056,2011
70238,Sopot,49.5360141405214,50.4639858594786,2011
70246,Stari grad,53.4282765737874,46.5717234262126,2011
70254,Čukarica,46.5814347435042,53.4185652564959,2011
71293,Surčin,44.3825737693695,55.6174262306306,2011
80047,Apatin,60.3477479345985,39.6522520654015,2011
80233,Kula,60.6064824482031,39.3935175517969,2011
80306,Odžaci,57.7800623466207,42.2199376533793,2011
80381,Sombor,56.4986088960805,43.5013911039195,2011
80039,Alibunar,61.3815691528956,38.6184308471044,2011
80098,Bela Crkva,62.6475499510566,37.3524500489434,2011
80128,Vršac,59.1665705608734,40.8334294391266,2011
80217,Kovačica,74.3214370499327,25.6785629500673,2011
80225,Kovin,59.5753514026452,40.4246485973548,2011
80292,Opovo,59.2241379310345,40.7758620689655,2011
80314,Pančevo,52.9259241253018,47.0740758746982,2011
80349,Plandište,53.2110091743119,46.7889908256881,2011
80055,Bač,62.6518569940993,37.3481430059007,2011
80063,Bačka Palanka,56.0906209479902,43.9093790520098,2011
80080,Bački Petrovac,64.0855567148606,35.9144432851394,2011
80101,Beočin,49.0080122090805,50.9919877909195,2011
80110,Bečej,64.4775240288078,35.5224759711922,2011
80136,Žabalj,56.0572434376674,43.9427565623326,2011
80284,Novi Sad ,41.1044320249545,58.8955679750455,2011
80519,Petrovaradin,25.7256754761553,74.2743245238447,2011
80390,Srbobran,62.3889195317767,37.6110804682233,2011
80411,Sremski Karlovci,38.9371428571429,61.0628571428571,2011
80446,Temerin,49.7401633259094,50.2598366740906,2011
80454,Titel,49.9364595247173,50.0635404752828,2011
80462,Vrbas,61.7860876175995,38.2139123824005,2011
80012,Ada,64.0339003001589,35.9660996998411,2011
80195,Kanjiža,64.1991871522708,35.8008128477292,2011
80209,Kikinda,65.4365633357442,34.5634366642558,2011
80276,Novi Kneževac,57.3786493921377,42.6213506078623,2011
80365,Senta,67.8975810602162,32.1024189397838,2011
80489,Čoka,59.1068608527812,40.8931391472188,2011
80071,Bačka Topola,56.7690045316767,43.2309954683233,2011
80241,Mali Iđoš,65.4559055772588,34.5440944227413,2011
80438,Subotica,58.6270963731156,41.3729036268844,2011
80144,Žitište,59.7114185618431,40.2885814381569,2011
80152,Zrenjanin,55.7440702971742,44.2559297028258,2011
80250,Nova Crnja,65.1479750778816,34.8520249221184,2011
80268,Novi Bečej,69.4503657262278,30.5496342737722,2011
80373,Sečanj,58.0764302404462,41.9235697595538,2011
80179,Inđija,45.5568907722472,54.4431092277528,2011
80187,Irig,51.1227682679919,48.8772317320081,2011
80322,Pećinci,54.6551724137931,45.3448275862069,2011
